,tractvec
914,40505
915,1004
916,1003
917,204
918,204
919,802
920,40506
921,502
922,40506
923,40506
924,1003
925,1003
926,40505
927,40501
928,40509
929,300
930,1003
931,40509
932,40501
933,40505
934,204
935,10109
936,40509
937,40505
938,400
939,40509
940,40509
941,40509
942,40509
943,40506
944,802
945,904
946,10306
947,100
948,10303
949,40504
950,203
951,10109
952,501
953,40504
954,40501
955,100
956,40509
957,400
958,40501
959,903
960,10111
961,100
962,203
963,904
964,40501
965,1003
966,40504
967,10109
968,204
969,802
970,802
971,10306
972,204
973,1004
974,40506
975,40509
976,40501
977,40505
978,40509
979,40505
980,40509
981,40509
982,40504
983,40509
984,1003
985,1004
986,100
987,501
988,802
989,10303
990,40509
991,40504
992,40506
993,40506
994,40509
995,10306
996,1003
997,40509
998,10109
999,400
1000,40506
1001,1003
1002,40501
1003,802
1004,40505
1005,10306
1006,903
1007,100
1008,40509
1009,501
1010,40505
1011,501
1012,1004
1013,501
1014,40509
1015,801
1016,10308
1017,801
1018,40509
1019,40505
1020,1003
1021,1003
1022,501
1023,40505
1024,40509
1025,400
1026,501
1027,602
1028,802
1029,40505
1030,802
1031,10308
1032,901
1033,10109
1034,40505
1035,1003
1036,10307
1037,400
1038,100
1039,40504
1040,10303
1041,40504
1042,10308
1043,40509
1044,40504
1045,901
1046,901
1047,40509
1048,904
1049,10303
1050,100
1051,40509
1052,40506
1053,40501
1054,40506
1055,40509
1056,40509
1057,904
1058,204
1059,1003
1060,40504
1061,801
1062,40506
1063,40505
1064,1004
1065,10303
1066,802
1067,40506
1068,10306
1069,204
1070,203
1071,40501
1072,10306
1073,601
1074,40504
1075,901
1076,40504
1077,40505
1078,501
1079,40506
1080,40505
1081,40505
1082,40509
1083,501
1084,901
1085,40504
1086,501
1087,400
1088,10306
1089,40509
1090,40509
1091,40509
1092,901
1093,204
1094,100
1095,801
1096,10307
1097,40509
1098,204
1099,40509
1100,40506
1101,204
1102,601
1103,40501
1104,40504
1105,40509
1106,40506
1107,10308
1108,1003
1109,1004
1110,40504
1111,501
1112,10308
1113,100
1114,40509
1115,40506
1116,40505
1117,502
1118,40505
1119,10307
1120,501
1121,40509
1122,40504
1123,801
1124,400
1125,10109
1126,40506
1127,10308
1128,40700
1129,40509
1130,40501
1131,40509
1132,10306
1133,901
1134,40506
1135,40505
1136,501
1137,40509
1138,10303
1139,40504
1140,601
1141,40509
1142,203
1143,10303
1144,801
1145,40509
1146,40509
1147,10306
1148,40505
1149,40504
1150,40505
1151,10306
1152,901
1153,40506
1154,901
1155,502
1156,901
1157,501
1158,700
1159,40504
1160,40505
1161,40501
1162,904
1163,901
1164,801
1165,100
1166,203
1167,10308
1168,10308
1169,901
1170,10308
1171,100
1172,40504
1173,10303
1174,203
1175,40509
1176,100
1177,904
1178,40509
1179,40506
1180,40501
1181,901
1182,903
1183,100
1184,40509
1185,10111
1186,100
1187,40509
1188,10303
1189,40501
1190,801
1191,40509
1192,904
1193,40504
1194,903
1195,203
1196,903
1197,40505
1198,1004
1199,40505
1200,40509
1201,1004
1202,40504
1203,1004
1204,40505
1205,10307
1206,601
1207,40700
1208,501
1209,901
1210,801
1211,1003
1212,40505
1213,40504
1214,10303
1215,602
1216,10109
1217,204
1218,100
1219,100
1220,601
1221,400
1222,40505
1223,40506
1224,400
1225,40509
1226,10307
1227,10303
1228,10306
1229,10303
1230,100
1231,40504
1232,400
1233,40509
1234,1003
1235,400
1236,40509
1237,10303
1238,901
1239,901
1240,10308
1241,40509
1242,40501
1243,10308
1244,10303
1245,802
1246,10109
1247,602
1248,40504
1249,1003
1250,40504
1251,100
1252,40501
1253,40506
1254,40509
1255,100
1256,204
1257,40509
1258,40505
1259,400
1260,1003
1261,100
1262,40501
1263,904
1264,40501
1265,10308
1266,1003
1267,400
1268,203
1269,400
1270,801
1271,40509
1272,40509
1273,40509
1274,40509
1275,40509
1276,40509
1277,601
1278,40509
1279,901
1280,10109
1281,40509
1282,40509
1283,40504
1284,903
1285,40509
1286,1004
1287,10303
1288,801
1289,10308
1290,901
1291,40505
1292,40509
1293,1003
1294,40509
1295,400
1296,40700
1297,904
1298,10306
1299,204
1300,1004
1301,40505
1302,602
1303,100
1304,10308
1305,300
1306,10307
1307,1004
1308,40506
1309,903
1310,10303
1311,10303
1312,100
1313,802
1314,40509
1315,40501
1316,802
1317,10111
1318,901
1319,802
1320,40501
1321,40501
1322,10303
1323,203
1324,100
1325,40509
1326,40504
1327,802
1328,1003
1329,601
