Period,labor force,unemployment rate,CPI,Median Income,Effective Interest Rate,Houses on Market,Houses Sold in Period,Sales Rate over past Year,Months Remaining Inventory,Seasonally-corrected MRI,Median Market Price in Period,Median Sold Price in Period,Monthly Payment on Median Home Sold in Period,Qualifying Income for Median Home Sold in Period,Affordability Index,Unemployment-adjusted Affordability Index
2011-03-01,123195,4.4,223.046,52393,4.437914892867031,539,146,173.91666666666666,3.691780821917808,3.099185433636799,149900,141500,569.3994450340475,27331.173361634283,191.696855845735,183.26219418852264
2011-04-01,124176,3.9,224.093,52393,4.437914892867031,543,187,160.58333333333334,2.9037433155080214,3.381421899325376,149900,148900,599.1772251983723,28760.50680952187,182.16994695884154,175.06531902744672
2011-05-01,124613,3.5,224.806,52393,4.437914892867031,549,217,145.83333333333334,2.5299539170506913,3.7645714285714282,154900,145500,585.495542420169,28103.786036168116,186.42683919018214,179.90189981852575
2011-06-01,125148,4.2,224.806,52393,4.437914892867031,620,224,150.41666666666666,2.767857142857143,4.121883656509696,156900,153416.5,617.3517311594768,29632.883095654885,176.80696080389987,169.38106845013607
2011-07-01,125196,3.7,225.395,52393,4.437914892867031,638,225,158.16666666666666,2.8355555555555556,4.033719704952582,154850,154900,623.3213712775545,29919.425821322613,175.1136546299,168.6344494085937
2011-08-01,124220,3.8,226.106,52393,4.437914892867031,636,203,161.08333333333334,3.1330049261083746,3.948266942576306,149900,148000,595.5556032864949,28586.668957751757,183.2777371768345,176.31318316411478
2011-09-01,124081,3.5,226.597,52393,4.437914892867031,615,227,166.33333333333334,2.709251101321586,3.697394789579158,151450,152500,613.6637128458816,29455.85821660232,177.86954165358364,171.64410769570821
2011-10-01,124462,3.1,226.75,52393,4.437914892867031,601,220,171.25,2.731818181818182,3.5094890510948904,154900,157901,635.3974683414922,30499.078480391625,171.78551815486605,166.4601670920652
2011-11-01,124497,3.2,227.169,52393,4.437914892867031,592,200,174.58333333333334,2.96,3.3909307875894985,149900,149900,603.2012495449027,28953.65997815533,180.954670461451,175.16412100668455
2011-12-01,123619,3.6,227.223,52393,4.437914892867031,569,164,178.08333333333334,3.4695121951219514,3.195133364529714,149900,163250,656.9219745710831,31532.25477941199,166.15684595510876,160.17519950072483
2012-01-01,121925,4.2,227.842,51525,3.8308522308,519,143,181.91666666666666,3.629370629370629,2.8529546495648193,148150,153000,572.4836448766075,27479.21495407716,187.5053566344882,179.6301316558397
2012-02-01,122797,4.2,228.329,51525,3.8308522308,587,146,185.08333333333334,4.02054794520548,3.1715443493921653,146783,140750,526.6475360547876,25279.081730629805,203.8246505511666,195.2640152280176
2012-03-01,122575,4.1,228.807,51525,3.8308522308,569,220,191.75,2.5863636363636364,2.967405475880052,148900,143950,538.6210501959977,25853.810409407888,199.29364060490934,191.12260134010805
2012-04-01,123829,3.2,229.187,51525,3.8308522308,561,287,199.41666666666666,1.9547038327526132,2.813205181780192,149900,148000,553.7750290309667,26581.2013934864,193.83999706132906,187.63711715536652
