Geo Lat,Geo Lon,Census Tract
46.892979,-96.904931,40800
46.89248,-96.905058,40800
46.89308,-96.904905,40800
46.840238,-96.753251,30108
46.859955,-96.773312,20500
46.817506,-96.86707,40501
46.870421,-96.778186,20300
46.805725,-96.820238,10303
46.851689,-96.81834,904
46.868512,-96.895783,10206
46.872347,-96.898293,10206
46.843528,-96.821785,10308
46.868497,-96.899628,10206
46.835539,-96.759628,30108
46.870092,-96.810984,602
46.839459,-96.813134,1003
46.889747,-96.753151,30300
46.852337,-96.879195,10110
46.867558,-96.799572,802
46.90013,-96.785515,400
46.778931,-96.795944,40509
46.838616,-96.716362,30109
46.863899,-96.722197,30400
46.830786,-96.751763,30110
46.853639,-96.910398,10201
46.88152,-96.727896,30300
46.818903,-96.824109000000007,10303
46.815837,-96.872649,40506
46.825806,-96.914991,40502
46.826153,-96.778186,20500
46.823139,-96.917093,40502
46.850803,-96.897164,10205
46.866224,-96.897629,10206
46.859629,-96.878441,10110
46.811512,-96.856406,40504
46.868111,-96.732858,30400
46.816963,-96.854416,40504
46.829242,-96.860564,40504
46.863083,-96.773297,20400
46.854677,-96.831872,903
46.828202,-96.753108,30110
46.825017,-96.855937,40504
46.824934,-96.855916,40504
46.829,-96.853988,40504
46.798496,-96.805398,40505
46.819758,-96.771525,30110
46.8898,-96.825845,601
46.818211,-96.884825,40506
46.887864,-96.747201,30300
46.807565,-96.894359,40507
46.908476,-96.772432,100
46.84067,-96.822279,10308
46.8713,-96.744057,30400
46.844442,-96.834215,10308
46.842205,-96.824276,10308
46.848353,-96.794863,1004
46.837962,-96.769038,20500
46.865894,-96.878164,10109
46.85825,-96.762404,20600
46.861162,-96.754071,20600
46.849661,-96.83369,904
46.873863,-96.867743,10109
46.854633,-96.908466,10201
46.825809,-96.915337,40502
46.824287,-96.854073,40504
46.824341,-96.854075,40504
46.870063,-96.869231,10109
46.830426,-96.750459,30110
46.819096,-96.853594,40504
46.859814,-96.752595,20600
46.807129,-96.857378,40504
46.818086,-96.831795,10303
46.818077,-96.830828,10303
46.818073,-96.83046,10303
46.819934,-96.854688,40504
46.859548,-96.824399,903
46.814658,-96.915572,40507
46.872232,-96.808523,602
46.814806,-96.919489,40507
46.84933,-96.836949,904
46.862927,-96.789962,801
46.863321,-96.888752,10206
46.797034,-96.807646,40505
46.823294,-96.824794,10303
46.961618,-96.808066,300
46.829018,-96.859255,40504
46.85113,-96.836673,904
46.869671,-96.868727,10109
46.898427,-96.787076,400
46.897004,-96.788686,400
46.862338,-96.89597,10205
46.857294,-96.900805,10205
46.830365,-96.781147,20500
46.906512,-96.790218,204
46.891674,-96.905167,40800
46.905066,-96.781896,100
46.81962,-96.857711,40504
46.824426,-96.856685,40504
46.867132,-96.800023,802
46.864368,-96.912206,10201
46.858743,-96.817968,904
46.858563,-96.784944,901
46.910961,-96.783119,203
46.868914,-96.765293,20300
46.823158,-96.910706,40502
46.852096,-96.809522,904
46.817801,-96.919869,40507
46.86654,-96.792271,801
46.87591,-96.783069,700
46.812316,-96.837713,10303
46.881032,-96.7587,20700
46.863046,-96.900984,10206
46.817343,-96.875601,40506
46.807194,-96.854221,40504
46.899243,-96.765249,30106
46.833298,-96.77706,20500
46.867159,-96.743301,30400
46.849756,-96.809551,904
46.837245,-96.832474,10308
46.839661,-96.836424,10308
46.815209,-96.875767,40506
46.858895,-96.792385,901
46.865942,-96.866626,10109
46.820959,-96.917707,40502
46.872907,-96.870796,10109
46.866493,-96.774657,20400
46.798139,-96.810469,40505
46.826691,-96.827753,10303
46.926702,-96.748274,30106
46.800718,-96.812744,40505
46.861744,-96.78854,801
46.826999,-96.827512,10303
46.885915,-96.751008,30300
46.866299,-96.785496,801
46.834329,-96.770901,20500
46.873695,-96.907337,10206
46.879539,-96.750202,30300
46.851943,-96.876087,10110
46.886159,-96.76056,20700
46.909284,-96.775055,100
46.863418,-96.773295,20400
46.906756,-96.785092,203
46.862484,-96.730799,30400
46.879042,-96.904269,10201
46.919309,-96.788691,204
46.773682,-96.794395,40509
46.885682,-96.793578,501
46.888256,-96.768216,20700
46.822753,-96.91534,40502
46.922584,-96.796185,204
46.860126,-96.730591,30111
46.839625,-96.754739,30108
46.839644,-96.754814,30108
46.859528,-96.888517,10205
46.839624,-96.755041,30108
46.839624,-96.755344,30108
46.839623,-96.755647,30108
46.839642,-96.755722,30108
46.858961,-96.802551,901
46.889902,-96.777554,501
46.821841,-96.921241,40502
46.855464,-96.788692,901
46.799351,-96.80539,40505
46.852651,-96.872162,10111
46.858206,-96.874179,10110
46.816422,-96.824304,10303
46.850009,-96.869974,10111
46.900789,-96.775321,100
46.850143,-96.835052,904
46.827532,-96.859104,40504
46.824548,-96.855388,40504
46.859168,-96.791501,901
46.863472,-96.759355,20400
46.825324,-96.772245,30110
46.86192,-96.769429,20500
46.858905,-96.724066,30111
46.855496,-96.828845,903
46.843741,-96.790036,1004
46.862904,-96.915545,10201
46.86953,-96.915104,10201
46.864428,-96.799812,802
46.851948,-96.763134,20600
46.794816,-96.80546,40505
46.853957,-96.880446,10110
46.830086,-96.811133,10306
46.846287,-96.835674,10308
46.829151,-96.778125,20500
46.871893,-96.817307,602
46.830503,-96.762969,30110
46.856888,-96.911778,10201
46.828361,-96.805789,10306
46.811434,-96.854584,40504
46.844067,-96.821776,10308
46.822295,-96.918438,40502
46.88545,-96.766691,20700
46.864451,-96.721883,30400
46.935047,-96.796083,300
46.825434,-96.814068,10306
46.870471,-96.773237,20300
46.842877,-96.81326,1003
46.819481,-96.871299,40501
46.827867,-96.910961,40502
46.912109,-96.780045,100
46.927015,-96.7698,100
46.815511,-96.883187,40506
46.856617,-96.727869,30111
46.792327,-96.806838,40505
46.793905,-96.814025,40505
46.919569,-96.908095,40800
46.873657,-96.908747,10201
46.836313,-96.775551,20500
46.829646,-96.914145,40502
46.871761,-96.813448,602
46.908916,-96.774537,100
46.853872,-96.835599,904
46.809673,-96.872484,40506
46.907642,-96.784338,203
46.82276,-96.807379,10307
46.827561,-96.827532,10303
46.818031,-96.867831,40501
46.812512,-96.870988,40501
46.848947,-96.804183,901
46.859979,-96.752096,20600
46.862108,-96.800229,802
46.829623,-96.859766,40504
46.913006,-96.772426,100
46.813302,-96.876604,40506
46.888478,-96.824488,601
46.819962,-96.916653,40502
46.843665,-96.819034,1003
46.858707,-96.918807,10201
46.866776,-96.772827,20400
46.828421,-96.776032,20500
46.870143,-96.752509,20300
46.816264,-96.919729,40507
46.861919,-96.758278,20600
46.859861,-96.774056,20500
46.856456,-96.881738,10110
46.844918,-96.806682,1003
46.862817,-96.788357,801
46.818138,-96.878979,40506
46.883486,-96.778163,501
46.821162,-96.851923,40504
46.913267,-96.771094,100
46.849291,-96.896183,10205
46.872648,-96.801453,802
46.842622,-96.723684,30109
46.838569,-96.731294,30109
46.849783,-96.753425,20600
46.792027,-96.816595,40505
46.861581,-96.733424,30111
46.871427,-96.760975,20300
46.837039,-96.726419,30109
46.868526,-96.908383,10201
46.815857,-96.91428,40507
46.865243,-96.895433,10206
46.869049,-96.807172,802
46.827867,-96.910805,40502
46.8534,-96.763142,20600
46.810002,-96.859654,40504
46.852094,-96.771433,20500
46.869428,-96.740075,30400
46.87149,-96.918992,10201
46.851706,-96.802033,901
46.895151,-96.786166,400
46.853157,-96.813962,904
46.853866,-96.891261,10205
46.838916,-96.820526,10308
46.868623,-96.786027,801
46.818633,-96.915949,40507
46.869205,-96.891238,10206
46.880457,-96.908267,10201
46.843692,-96.806023,1003
46.868259,-96.812159,802
46.869057,-96.771384,20300
46.90709,-96.783142,203
46.898665,-96.778993,100
46.821688,-96.855773,40504
46.897846,-96.784248,400
46.862801,-96.894605,10206
46.905067,-96.784856,203
46.839648,-96.752274,30108
46.860994,-96.918671,10201
46.90097,-96.792476,400
46.827002,-96.82789,10303
46.940594,-96.797372,300
46.807057,-96.823516,10303
46.814278,-96.915027,40507
46.877706,-96.801399,602
46.859354,-96.796432,901
46.864171,-96.903052,10206
46.808413,-96.867885,40501
46.825081,-96.908247,40502
46.864019,-96.914918,10201
46.852696,-96.817397,904
46.851637,-96.894626,10205
46.828248,-96.817588,10306
46.874912,-96.900148,10206
46.790383,-96.808372,40505
46.83851,-96.824021,10308
46.869793,-96.794439,801
46.821023,-96.920305,40502
46.879451,-96.795636,602
46.912786,-96.782414,100
46.882492,-96.791302,501
46.843146,-96.819347,1003
46.813007,-96.857456,40504
46.822895,-96.921668,40502
46.843957,-96.821778,10308
46.813065,-96.860071,40504
46.850033,-96.897304,10205
46.856453,-96.721726,30111
46.857086,-96.724882,30111
46.832724,-96.782189,20500
46.858344,-96.79091,901
46.812824,-96.884425,40506
46.834776,-96.807753,1004
46.861317,-96.891248,10205
46.859217,-96.788235,901
46.86123,-96.888282,10205
46.861244,-96.889031,10205
46.861276,-96.890805,10205
46.838385,-96.763946,30108
46.840677,-96.824936,10308
46.848899,-96.816251,904
46.85481,-96.725682,30111
46.818288,-96.820377,10303
46.883026,-96.731189,30300
46.860983,-96.889781,10205
46.860964,-96.888746,10205
46.815899,-96.916204,40507
46.817602,-96.893553,40506
46.85892,-96.724888000000007,30111
46.83998,-96.729757,30109
46.84243,-96.723496,30109
46.823008,-96.865816,40501
46.792918,-96.816582,40505
46.853105,-96.893854,10205
46.816949,-96.894821,40506
46.815947,-96.833051,10303
46.85163,-96.792465000000007,901
46.852077,-96.89451,10205
46.867588,-96.880952,10109
46.818996,-96.867064,40501
46.869556,-96.792142,801
46.85654,-96.830885,903
